Model(SKU),Product Family/Collection,Product Category,Product Type,Product Title,Price US,Price CAN
S-6600TS-STN,Bath,Shower and Tub Shower|Tub Shower Valves,Transitional,Symmons Unity® Tub/Shower Valve and Trim - Finish Product,243.75,260.5
6600,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Unity® Shower Valve and Trim - Finish Product,176.9,187
6600-STN,Bath,Tub Shower Valves|Shower and Tub Shower,Transitional,Symmons Unity® Shower Valve and Trim - Finish Product,195.5,207.45
663RH,Bath,Bath Accessories,Transitional,Symmons Unity® Robe Hook - Finish Product,12.5,13.75
663RH-STN,Bath,Bath Accessories,Transitional,Symmons Unity® Robe Hook - Finish Product,17.5,19.25
663TB-18,Bath,Bath Accessories,Transitional,Symmons Unity® Towel Bar - Finish Product,22.5,24.75
663TB-18-STN,Bath,Bath Accessories,Transitional,Symmons Unity® Towel Bar - Finish Product,31.5,34.65
663TB-24,Bath,Bath Accessories,Transitional,"Symmons Unity® Towel Bar (24"") - Finish Product",26.5,29.15
663TB-24-STN,Bath,Bath Accessories,Transitional,"Symmons Unity® Towel Bar (24"") - Finish Product",37.1,40.8
663TP,Bath,Bath Accessories,Transitional,Symmons Unity® Toilet Paper Holder - Finish Product,25,27.5
663TR-STN,Bath,Bath Accessories,Transitional,Symmons Unity® Toilet Paper Holder - Finish Product,31.5,34.65
663TR,Bath,Bath Accessories,Transitional,Symmons Unity® Towel Holder - Finish Product,22.5,24.75
663TR-STN,Bath,Bath Accessories,Transitional,Symmons Unity® Towel Holder - Finish Product,31.5,34.65
66-2DIV,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Unity® Dual Outlet Diverter - Finish Product,234.9,241.55
66-2DIV-STN,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Unity® Dual Outlet Diverter - Finish Product,280.9,290.2
66-3DIV,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Unity® Triple Outlet Diverter - Finish Product,264.9,271.55
66-3DIV-STN,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Unity® Triple Outlet Diverter - Finish Product,310.9,320.2
96-2DIV-PLR,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Origins® Dual Outlet Diverter - Finish Product,213.6,237.95
96-2DIV-PLR-STN,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Origins® Dual Outlet Diverter - Finish Product,251.05,278.7
96-3DIV-PLR,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Origins® Triple Outlet Diverter - Finish Product,243.6,271.9
96-3DIV-PLR-STN,Bath,Diverter Valves|Shower and Tub Shower,Transitional,Symmons Origins® Triple Outlet Diverter - Finish Product,281.05,312.1
SPP-3510,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Contemporary,Symmons Dia® Single Handle Kitchen Faucet - Finish Product,321.95,343.8
SPP-3510-STN,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Contemporary,Symmons Dia® Single Handle Kitchen Faucet - Finish Product,418.55,447
SK-6600,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Transitional,Symmons Unity® Single Handle Kitchen Faucet - Finish Product,163,179.3
SK-6600-STN,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Transitional,Symmons Unity® Single Handle Kitchen Faucet - Finish Product,216.8,251.05
SK-6600-STS,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Transitional,Symmons Unity® Single Handle Kitchen Faucet - Finish Product,216.8,251.05
S-2660,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Contemporary,Symmons Dia® Single Handle Kitchen Faucet - Finish Product,276.05,317.4
,,Kitchen Faucets,Contemporary,Symmons Design Studio™ Gallery 42nd Street Single Handle Kitchen Faucet - Finish Product,0,0
SK-3500,Kitchen,Kitchen Faucets,Contemporary,Symmons Design Studio™ Gallery Newbury Street Single Handle Kitchen Faucet - Finish Product,292,321.2
SK-3500-2,Kitchen,Kitchen Faucets|Single Handle Kitchen Faucets,Contemporary,Symmons Design Studio™ Gallery Newbury Street Single Handle Kitchen Faucet - Finish Product,319,350.9
SLS-4310-EXT-1.5,Bath,Single Handle Faucets|Lavatory Faucets,Contemporary,Symmons Design Studio™ Gallery Michigan Avenue Single Handle Lavatory Faucet - Finish Product,389.65,428.65
SLW-8702-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Traditional,Symmons Design Studio™ Gallery Times Square Two Handle Lavatory Faucet - Finish Product,502.35,552.6
SLW-8602-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Contemporary,Symmons Design Studio™ Gallery 42nd Street Two Handle Widespread Lavatory Faucet - Finish Product,545,599.5
SLW-7702-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Contemporary,Symmons Design Studio™ Gallery Liberty Street Two Handle Widespread Lavatory Faucet - Finish Product,456,501.6
SLW-7302-TCR-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Contemporary,Symmons Design Studio™ Gallery Aloha Avenue Two Handle Widespread Lavatory Faucet - Finish Product,385,423.5
SLW-3632-CX-1.5,Bath,Widespread Faucets|Lavatory Faucets|Two Handle Faucets,Contemporary,Symmons Design Studio™ Gallery Rue Crescent Two Handle Widespread Lavatory Faucet - Finish Product,481,527.85
S-3632-361SH,Bath,Tub Shower Systems,Contemporary,Symmons Design Studio™ Gallery Rue Crescent Tub/Shower System - Finish Product,615,650
SLW-8802-1.5,Bath,Widespread Faucets|Two Handle Faucets|Lavatory Faucets,Traditional,Symmons Design Studio™ Gallery Two Handle Widespread Lavatory Faucet - Finish Product,525.4,577.95
SLC-8802-1.5,Bath,Centerset Faucets|Two Handle Faucets|Lavatory Faucets,Traditional,Symmons Design Studio™ Gallery Bourbon Street Two Handle Centerset Lavatory Faucet - Finish Product,525.4,577.95
S-4001-X-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Shower Valve Body  - Finish Product,153.9,169.3
S-4001-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Shower Valve Body  - Finish Product,126.05,138.7
4000-X-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Tub/Shower Valve Body - Finish Product,106,121.9
4000-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Tub/Shower Valve Body - Finish Product,90,103.5
S-4002-X-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Tub/Shower Valve Body - Finish Product,153.9,169.3
S-4002-BODY,Bath,Tub Shower Valve Bodies,,Symmons Temptrol® Tub/Shower Valve Body  - Finish Product,126.05,138.7
2DIV-BODY,Bath,Tub Shower Valve Bodies,,Symmons Dual Outlet Diverter Valve Body - Finish Product,120,132
3DIV-BODY,Bath,Tub Shower Valve Bodies,,Symmons Triple Outlet Diverter Valve Body  - Finish Product,150,165
W-400,,Washing Machine Valves,,Symmons Laundry-Mate® Washing Machine Valve - Finish Product,61.4,61.45
ADACHS,Bath,Hand Showers,,Symmons Hand Shower - Finish Product,61.85,68.05
ADACHS-STN,Bath,Hand Showers,,Symmons Hand Shower - Finish Product,86.6,95.3
ADACHS-WHT,Bath,Hand Showers,,Symmons Hand Shower - Finish Product,45.45,49.5
EF-100,Bath,Hand Showers,Transitional,Symmons Hand Shower - Finish Product,61.5,74.9
